name,quadrant,ring,isNew,description,pros,cons,usedBy
Ktor,Programmering,VURDER,FALSE,Ktor er et rammeverk for å lage asynkrone HTTP-klienter og servere i Kotlin. Fint til for eksempel REST APIer.,"- Kotlin native
- God ytelse
- Lettvekterrammeverk","- Asynkron programmeringsmodell kan være uvant
- Booking har opplevd en del bugs underveis",Booking
Ktorm,Programmering,VURDER,FALSE,Ktorm er et ORM rammeverk for Kotlin. Tilbyr en sterkt typet SQL DSL.,"- Lettvekts
- Sterkt typet SQL",- Man bør tenke seg om før man velger å bruke en ORM,Booking
Scala,Programmering,AVSTÅ,FALSE,"Scala er et hybrid objektorientert og funksjonelt programmeringsspråk. Kjører på JVMen eller Javascript. Scala 3.0 rydder opp i en del av kompleksitetene, og tilbyr også renere syntaks.","- Veldig rikt collections API
- God på funksjonell programmering og immutability","- Komplekst språk
- Treg kompilering",Skjema
Nuxt,Programmering,VURDER,FALSE,"Nuxt er et rammeverk bygget på toppen av Vue. som gjør at man kan lage Universal Apps med støtte for ulike rendering modes, automatisk generering av routes, SEO muligheter, osv. Kan si at Nuxt er Next.js for Vue.

Nuxt har vi ikke kjempegod erfaring med på kjørende applikasjoner. Det fungerer ofte godt i starttilfellene, men etterhvert som applikasjoner øker i kompleksitet klarer ikke Nuxt å holde følge. Derimot har vi god erfaring med Nuxt til generering av statiske sider.

Nuxt 3 er en storomskriving som har Vue 3 i bunn, hvor de har tatt store grep for å imøtekomme kritikken rundt versjon 2. Mye lettere, raskere, bedre tooling, Webpack 5 eller Vite, TypeScript og ESM ut av boksen. Incremental Static Generation er også interessant.","- Kjapt å komme igang
- Pre-rendering av sider
- God struktur av kode
- Aktiv community
- Store forbedringer i Nuxt 3","- Skalerer dårlig med kompleksitet
- Kan være vanskelig å integrere med tester
- En del black box funksjonalitet som kan være frustrerende
- Server vs klientside kode er ikke åpenbart, og krever en del erfaring",Dataplattform
Spring Framework,Programmering,BRUK,FALSE,"Spring er en samling av flere moduler med et stort spenn av funksjonalitet f.eks. IoC-rammeverk, datatilgang, webserver, integrasjoner og sikkerhet. IoC-rammeverket er en gammel traver og har mye god funksjonalitet bygget inn, men kan av og til være vanskelig å følge kodeflyten til og kan innføre litt rare bugs. Community rundt Spring er stort og det er mye hjelp å få. ","- Effektiv IoC
- Godt dokumentert
- Raskt oppsett av applikasjon (convention over configuration)
- Ok defaults.
- Stort spenn i omfang på moduler","- Tungt og treg oppstart
- Mange avhengigheter
- Kan være vanskelig å debugge noen type problemer.
- Stort spenn i omfang på moduler","Dataplattform, Skjema, Barnehagepris, Legevaktmottak, Vitalia"
Python,Programmering,BRUK,FALSE,Python er et høynivå objektorientert programmeringsspråk. Dynamisk typet og intepretert (ikke kompilert). Skalerer fra enkle scripts til større applikasjoner. ,"- Lett å sette seg inn i
- Rask oppstart, egner seg bra til f.eks. Serverless
- Rikt standardbibliotek og økosystem",- Fragmentert tooling,"Dataspeilet, Dataplattform, Skjema"
FastAPI for REST API,Programmering,VURDER,FALSE,"FastAPI er et moderne og raskt web rammeverk for Python. Egner seg godt til å bygge f.eks. REST APIer. Gode løsninger for å dokumentere APIet i koden og generere API-spesifikasjon basert på dette. Kan deployes i AWS Lambda ved å bruke Mangum adapter.

Dataplattform har veldig god erfaring med å bruke FastAPI for å bygge sine REST API som deployes i Lambda. Det gir et godt lokalt utviklingsmiljø i tillegg til at den passer godt inn i kjøremiljøet.","- God støtte for dokumentasjon av API (OpenAPI)
- Integrert visning og utforsking av API-dokumentasjon (SwaggerUI)",- Noen utfordringer med asynkron Python-kode i AWS Lambda?,Dataplattform
Nextjs,Programmering,VURDER,FALSE,Nextjs er server-rendret react. Det er godt støttet og skalerer godt med kompleksiteten på applikasjonen.,"- Rask oppstart
- Godt dokumentert
- Stort community","- Tar noen grunnleggende valg for deg (f.eks. routing og SSR/SSG), som senere kan komme i veien dersom du trenger fullstendig kontroll. F.eks. vanskelig å sette opp page transition mellom sider som er statisk generert og sider som er dynamisk generert.",
Storybook,Programmering,VURDER,FALSE,"Verktøy for å bygge, dele og teste ut UI-komponenter. Ikke noe for alle kodebaser, det bør ha en tydelig usecase.","- Aktiv community
- Mange plugins","- Mange døde plugins
- Skalerer dårlig",Dataplattform
Jest,Programmering,BRUK,FALSE,Trenger du en testrunner for JS så har vi god erfaring med Jest.,"- Offesielt støttet av React
- Automocking
- Støtte for asynkron kode","- Litt treg grunnet automocking
- Dårlig dokumentasjon","Dataplattform, Veiviser, Skjema, Dataspeilet"
GraphQL,Programmering,VURDER,FALSE,"GraphQL kan være et kraftig verktøy for å lage gode API på toppen av relasjonelle systemer, men vær varsom på at det kan komplisere klientkoden noe og kan ta litt tid å bli vant til","- Klient bestemmer hvilke felter som skal hentes
- Endringer i klient krever sjeldnere endringer på server / i endpoints
- Veldig fleksibel måte å jobbe på
- Visuell måte å finne data på med GraphiQL","- Mer komplisert klientkode
- Mer jobb å optimalisere tunge spørringer på server",Veiviser
React,Programmering,BRUK,FALSE,"Et javascriptbibliotek som brukes til å lage Single Page applikasjoner. React fungerer bra til større applikasjoner, og er det mest populære single page applikation rammeverket.
For og komme i gang med react kan det være lurt å starte med create react app. ","- Ekstremt populært.
- Enkelt å sette seg inn i.
- Veldig fleksibelt.
- Det finnes mye 3 parts biblioteker som støtter react.","- Er bare et UI bibliotek, ikke et rammeverk. Mye må konfigureres selv, for eksempel routing og stathåndtering.
- Ikke alle er like fornøyd med JSX.
","Booking, Veiviser, Barnehagepris, Legevaktsmottak"
Typescript,Programmering,BRUK,FALSE,Typescript er javascript med sterke typer. Det hjelper prosjekter og skalere å kjører en statisk sjekk av koden din i sanntid. ,"- Gjør javascript om til et statisk typet språk.
- Hindrer bugs.
- Gjør det lettere og vedlikeholde og utvide applikasjoner.
","- Er mer komplekst å sette seg inn i enn bare javascript.
- Du må transpilere kildekoden din om til javascript.
- Har tidligere hatt noen utfordring med Vue og templating som har hindret enn i å få full uttelling, men dette utbedres stadig i nyere versjoner av Vue.","Booking, Veiviser, Skjema, Dataspeilet, Dataplattform. Legevaktmottak, Informasjonsflyt, Vitalia"
Cypress,Programmering,BRUK,FALSE,"Alt-i-ett ende-til-ende testverktøy i Javascript. Godt egnet for smoketests. Utviklernært og god tooling. Høyt på testpyramiden, så egner seg ikke for omfattende testsuiter. Mer brukervennlig enn Selenium. ","- Ingen ekstra avhengigheter
- Bruker Javascript","- Ingen direkte støtte for flere vinduer/faner
- Støtter ikke cross-domain-scenarier","Dataplattform, Skjema, Veiviser, Dataspeilet"
Okctl,Plattform,AVSTÅ,FALSE,Okctl var et kommandolinjeverktøy utviklet av Kjøremiljø-teamet for å sette opp et fullverdig Kubernetes-miljø i en AWS-konto.,"- Enkelt å komme i gang med Kubernetes
- Inkluderer verktøy for logger og metrikker","- Utfordrende for team å forstå (blackbox)
- Tidkrevende å bygge ut med ny funksjonalitet",
Firebase Build,Plattform,AVSTÅ,FALSE,"Firebase er en plattform utviklet av Google for å lage mobil- og webapplikasjoner. Har blitt omtalt som backend-as-a-service (BaaS) da de tilbyr flere grensesnitt over HTTP for å gjøre standard backendoppgaver som brukerhåndtering, CRUD-operasjoner på ressurser, messaging og cloud functions.","- Enkelt å komme i gang
- Likes godt av mange som benytter det","- Kjører i Google Cloud Platform
- Origo har valgt å kjøre i AWS og evt. Azure",Dataspeilet
"Google Cloud Platform
",Plattform,AVSTÅ,TRUE,Google Cloud Platform er Google sin skyplattform.,- Har SaaS-tjenester med tett integrasjon til Google programvare,- Origo har valgt å kjøre i AWS og evt. Azure,Dataspeilet
Microsoft Azure,Plattform,VURDER,TRUE,Microsoft Azure er Microsoft sin skyplattform.,"- Har SaaS-tjenester med tett integrasjon til Office 365 og Power Platform
- Anbefalt plattform for UKE",- Origo har valgt og har mest kompetanse på AWS,
Amazon S3,Plattform,BRUK,FALSE,"S3 er AWS sin serverless tjeneste for fillagring i sky. Tilbyr høy grad av skalerbarhet, tilgjengelighet og holdbarhet (durability). Den fremstår ofte som et filsystem, men er egentlig et objektlager (key-value store) og støtter derfor ikke operasjoner som å endre navn på ""kataloger"" eller filer eller å flytte disse. Betaler for mengden data lagret i S3 og antall API-kall pluss datatrafikk ut til Internett.","- Skalerbart
- Billig",- Ikke et ordentlig filsystem (mangler f.eks. move),"Dataplattform, Skjema, Veiviser, Oslonøkkelen"
Amazon SQS,Plattform,BRUK,FALSE,"SQS er Amazon sin serverless tjeneste for meldingskøer for asynkron kommunikasjon mellom tjenester. Brukes ofte for å håndtere hendelser fra AWS-tjenester, f.eks. S3. Betaler for API-kall og datatrafikk ut til Internett.","- Skalerbart
- Billig
- Tilbyr FIFO-køer",- Kapasitetsbegrensning for FIFO?,"Dataplattform, Skjema"
Amazon SNS,Plattform,BRUK,FALSE,"SNS er Amazon sin serverless tjeneste for mange-til-mange publisering av og abonnering på hendelser (pub/sub). Brukes ofte sammen med SQS for meldinger som skal håndteres av flere konsumenter uavhengig av hverandre. Betaler for API-kall og bl.a. levering av meldinger til e-post, SMS og HTTPS-endepunkter.","- Skalerbart
- Billig
- Tilbyr FIFO-topics",- Kapasitetsbegrensning for FIFO?,"Dataplattform, Oslonøkkelen, Skjema"
Amazon EKS Kubernetes,Plattform,AVSTÅ,FALSE,AWS sin managed tjeneste for Kubernetes-clustere. Basis for kjørmiljø satt opp med Okctl.,"- Managed Kubernetes
- God skalering for mange tjenester","- Komplekst
- Egner seg dårlig med tanke på oppsplittede AWS-kontoer med få applikasjoner i hver",
Amazon ECS Fargate,Plattform,BRUK,FALSE,"Tjeneste for ""serverless"" kjøring av Docker-containere. AWS sitt alternativ til Kubernetes.",- 100% managed plattform,,Alle team
Amazon API Gateway,Plattform,BRUK,FALSE,"API Gateway er en tjeneste for å eksponere forskjellige AWS-tjenester som APIer, f.eks. lage et REST API mot en Lambda-funksjon.","- Skalerbart
- Betal for bruk",,"Dataplattform, Skjema, Legevaktmottak"
Lambda,Plattform,BRUK,FALSE,"Lambda er en plattform for å kjøre funksjoner, eller Function-as-a-Service (FaaS). Lambda er serverless og skalerer tjenestene etter behov. Ved å pakke f.eks. et REST API som en funksjon så kan man deploye den som én Lambda (se FastAPI). Man betaler per kall på funksjonene og CPU-tid og minne brukt.","- Skalerbart
- Billig
- Støtter mange språk (Python, JS, Go, Java/JVM, m.fl.)","- Cold start (delay på oppstart)
- Kort timeout for HTTP kall
- Begrenset størrelse på Lambda pakker (250MB)","Dataplattform, Dataspeilet, Skjema, Barnehagepris, Oslonøkkelen"
Terraform,Plattform,BRUK,FALSE,"Konfigurasjonsspråk og -verktøy for å beskrive og provisjonere infrastruktur og tjenester i forskjellige skyløsninger (Infrastructure as Code), inkludert AWS. Konfigurasjonen skrives i HCL.","- Lett å lære
- Oversiktlig
- Mer uttrykkskraft enn i CloudFormation",,Alle team bortsett fra Oslonøkkelen
Pulumi,Plattform,AVSTÅ,TRUE,"Verktøy for å beskrive og provisjonere infrastruktur og tjenester i forskjellige skyløsninger (Infrastructure as Code), inkludert AWS. Støtter forskjellige programmeringsspråk.","- Støtter forskjellige språk
- God IDE-støtte
- God auto-complete","- Resten av Origo bruker Terraform
- Brolagt sti tilbyr kun Terraform",Oslonøkkelen
CloudFormation,Plattform,VURDER,FALSE,AWS sitt konfigurasjonsspråk og -verktøy for å beskrive og provisjonere infrastruktur og tjenester i AWS (Infrastructure as Code). Konfigurasjonen kan skrives i JSON eller YAML.,"- Kjøres med AWS CLI
- Templates for å gi tilgang mellom kontoer
- Tjenester som oppretter infrastruktur med f.eks. boto","- JSON eller YAML
- Terraform er basisvalget i Origo","Barnehagepris, Dataplattform"
Kinesis,Plattform,BRUK,FALSE,"Kinesis er AWS sin plattform for distribuert prosessering av datastrømmer, som f.eks. sanntidsdata og hendelser (eventer), tilsvarende Apache Kafka.",- Koblinger mot andre AWS datakilder + sinks (?) ,"- Begrenset lagringtid (1/7 dager)
- Kan ikke replaye events, slik som Kafka kan.
- Høyere latency enn Kafka (10-20 ms)",Dataplattform
OpenSearch,Plattform,BRUK,FALSE,"OpenSearch er AWS sin fork av Elasticsearch, et verktøy for lagring av og søk i store datamengder. Brukes bl.a. til logg-analyse, fulltekst-søk, tidsseriedata, osv. Dette er en ""managed"" versjon av Elasticsearch, dvs. at AWS tar seg av servere, oppsett, patching, backup, osv.

AWS-tjenesten inkluderer Kibana for visualisering og utforsking av logg-data, samt integrasjon med Logstash for innhøsting av logg-data.",- Kraftig søkeverktøy for logger og andre data,"- Ingen direkte integrasjon med CloudWatch for overføring av logger
- Blir fort dyrt (flere servere i cluster)","Dataplattform, Dataspeilet, Skjema"
MongoDB Atlas,Plattform,AVSTÅ,FALSE,"MongoDB Atlas er en NoSQL dokumentdatabase som tilbys på flere skyplattformer (AWS, Google, Azure, m.fl.).","- Positiv erfaring med MongoDB
- Positiv erfaring med Atlas som tilbyder","- Vi ønsker å samle ting i AWS
- Spesielt viktig for database med tanke på rutiner for backup",Skjema
Aurora PostgreSQL,Plattform,BRUK,FALSE,"RDS er AWS sin løsning for managed relasjonsdatabaser, dvs. at Amazon tar seg av servere, oppsett, patching, backup, osv.

Aurora er AWS sin egen databasemotor som er kompatibel med Postgres og MySQL og tilbyr mange avanserte løsninger for ytelse, skalering, tilgjengelighet, osv.","- Høyere ytelse enn ren Postgres
- Tilbyr autoskalering
- Kontinuerlig inkrementell backup","- Tilbyr ikke alle features fra nyeste Postgres?
- Hvis man har lave ytelseskrav så tilbyr vanlig RDS Postgres billigere maskinvare",Alle team med database
DynamoDB,Plattform,BRUK,FALSE,"DynamoDB er et NoSQL key-value store og objektdatabase. Den er fullt administrert av AWS (serverless) og man betaler for reservert kapasitet (skrive/lese-operasjoner per sekund).

Støtter in-memory cache med DynamoDB Accelerator (DAX) og prosessering av endringer i databasen via DynamoDB Streams.","- Veldig enkelt å bruke for å lagre enkle ting
- Krever lite oppsett for å komme i gang","- Egner seg ikke for relasjonelle data
- Kan være komplisert å bruke for større datastrukturer","Dataplattform, Skjema"
Bazel,DevOps,AVSTÅ,FALSE,"Bazel er et byggeverktøy utviklet av Google. Det håndterer mange programmeringsspråk bl.a. Go, Java og JavaScript (ikke så godt), etc. Mest hensiktsmessig for store monorepo-er som inneholder mange applikasjoner gjerne i ulike programmeringsspråk. ",- Støtter bygging av monorepo med hetrogene teknologier,"- Monorepo
- Komplisert oppsett
- Mangelfull Javascript-støtte",
Make,DevOps,BRUK,FALSE,Byggeverktøy for å kjøre forskjellige jobber i forskjellige deler av livssyklusen til applikasjoner.,- Et godt verktøy til sitt bruk,- Finnes ofte alternativer,"Dataplattform, Min side, Veiviser, Kjøremiljø"
Shell-script,DevOps,BRUK,FALSE,Shell-scripting med Bash (eller zsh eller lignende) er et nyttig verktøy for å skape lim i forskjeller deler av livssyklusen til applikasjonen.,"- Enkelt å lage
- Enkelt å kjøre","- Må passe på fallgruver og sårbarheter
- Bør kjøres gjennom ShellCheck",Mange team
GraalVM,DevOps,VURDER,TRUE,"Verktøy for å kompilere JVM-programmer til native-images, som gir rask oppstart. Mest egnet for mindre applikasjoner, da kompilering tar veldig lang tid.","- Gir rask oppstart av mindre applikasjoner
- Mindre minnebruk
- Egnet for Lambda","- Tar lang tid å kompilere
- Ikke nødvendigvis raskere for større heaps
- Feiler først runtime ved manglende klasser","Skjema, Oslonøkkelen"
ghcr.io,DevOps,AVSTÅ,TRUE,"GitHub sin pakkebrønn. Godt integrert med GitHub, men vi anbefaler bruk av Amazon ECR.","- Godt integrert med GitHub Actions
- Kan bruke samme bygg mot DEV- og PROD-konto",- Bedre integrert med GitHub enn med løsninger i AWS,Skjema
Rollbar,DevOps,VURDER,FALSE,"Rollbar er et verktøy som tracker feil i front-end (og back-end) applikasjoner og rapporterer disse til en skyløsning for analyse, varsling og oppfølging. Mulighet for å sette opp varsler f.eks til Slack. ","- Enkelt å ta i bruk
- Mange integrasjoner","- Data sendes til skyløsning, så medfører ekstra ansvar rundt håndtering av persondata ",Veiviser
Grafana,DevOps,BRUK,FALSE,"Grafana er et web-basert verktøy for analyse og interaktiv visualisering av metrikker, traces og logger. Støtter en rekke datakilder, og har et levende økosystem for deling av dashboards.","- God integrasjon med Prometheus og Loki
- Levende økosystem for deling av dashboards
- God støtte for integrasjoner",- Utfordrene å bruke med CloudWatch som kilde,"Skjema, Oslonøkkelen, Barnehagepris, Kjøremiljø"
Loki,DevOps,VURDER,FALSE,"Loki er et logg-aggregeringssystem inspirert av Prometheus. Loki indekserer ikke innholdet i loggene, men instedet et predefinert sett med labels for hver loggstrøm. Utvikles under Grafana-paraplyen og passer godt med Grafana.","- Smidig indeksering av loggestrømmen
- Fin og enkel loggehåndtering
","- Må definere labels (indekser) på forhånd for effektivt søk
",Oslonøkkelen
Prometheus,DevOps,VURDER,FALSE,System for å lagre og aggregere metrikker. Kvantifiserte funksjonelle metrikker hjelper oss å vite hva som skjer.,"- Passer godt sammen med Kubernetes
- God bibliotekssstøtte","- Mangelfull dokumentasjon
- Utfordrende spørrespråk",Oslonøkkelen
"Elasticsearch
Kibana",DevOps,AVSTÅ,FALSE,"Kan vises eksternt med f.eks. en dashboard-bruker, i motsetning til CloudWatch dashboards (krever innlogget AWS-bruker).","- Effektivt og kraftig søk i logger
- Dashboards for visualisering av data og metrikker hentet ut fra logger (lett å sette opp)
- Kan indeksere strukturerte logger (JSON)","- Elastic og AWS er ""uvenner""
- Bruk heller OpenSearch",
Firebase Monitor,DevOps,BRUK,FALSE,"Firebase er en plattform utviklet av Google for å lage mobil- og webapplikasjoner. Origo bygger ikke applikasjoner på Google-plattformen, men monitoreringsdelen er bra. Crashlytics brukes blant annet til overvåking av mobil-applikasjoner.","- Enkelt å komme i gang
- Likes godt av mange som benytter det",- Kjører i Google Cloud Platform,Oslonøkkelen
Serverless Framework,DevOps,VURDER,FALSE,"Verktøy for å forenkle bygg og deploy av serverless applikasjoner på forskjellige plattformer, f.eks. AWS Lambda.","- Godt økosystem, mange plugins og støtte for mange språk (Python, Java/Kotlin, Javascript, Go)
- Støtter mange skyplattformer, inkludert Kubernetes
- Enkelt å teste lokalt
- Lettvekt",- Må vurdere sikkerhet til plugins (ekstern kode).,"Dataplattform, Dataspeilet"
GitHub CodeQL,DevOps,BRUK,FALSE,"Statisk kodeanalyse levert av GitHub. Del av GitHub Advanced Security, Støtter mange forskjellige verktøy og forskjellige programmeringsspråk. Mindre falske-positive, sammenlignet med konkurrenter.","- Veldig enkelt å sette opp i GitHub
- Krever lite konfigurasjon
- Støtter mange språk
- Gratis for open-source",- Dyrt for closed-source,"Dataplattform, Dataspeilet, Kjøremiljø"
GitHub Actions,DevOps,BRUK,FALSE,"GitHub Actions er en CI/CD plattform på GitHub og følgelig tett integrert der. Muliggjør runs av workflows på en runner basert på events. Disse workflowene kan settes sammen av en rekke actions (ofte utviklet av tredjepart), men kan også være egentuviklede actions eller shell-kommandoer. ","- Enkel læringskurve
- Kraftig byggeverktøy
- Uavhengige bygg
- Stort økosystem (tilgjengelige actions)","- Må vurdere hvilke eksterne actions som er trygge å bruke (og pinne versjoner)
- Vanskelig å debugge en action",Alle
JitPack,DevOps,AVSTÅ,FALSE,On-demand bygging og publisering av JVM-biblioteker fra Github. Alternativ til Nexus.,"- Lett å sette opp
- Gratis for åpen kildekode",,
ChatGPT,DevOps,BRUK,TRUE,"ChatGPT er en avansert AI-basert tekstgenereringsmodell utviklet av OpenAI, som også kan brukes for å generere og forbedre programmeringskode. Brukes gjerne via webgrensesnitt.","- Brukes via nettleser slik at man har full kontroll på hva som deles
- Fungerer på det meste av språk og biblioteker","- Kode som deles i ChatGPT kan brukes av OpenAI
- Kjører i USA",
Copilot,DevOps,BRUK,TRUE,"Copilot er en avansert AI-basert tekstgenereringsmodell utviklet av GitHub, som kan brukes for å generere og forbedre programmeringskode. Integreres i IDE-en.","- Integrert i ID-en
- Har dermed tilgang til annen kode i prosjekter
- God policy med tank på sikker deling av kode","- Integrert i ID-en
- Har dermed mindre kontroll på hva som deles",
Google Analytics,DevOps,BRUK,TRUE,"Google Analytics har vært brukt i Oslo kommune i mange år. Det har vært usikkerhet rundt bruk av GA på innloggede flater, men dette er nå godkjent, hvis man følger Origos tilhørende retningslinjer. Brukes sammen med Tag Manager og Looker Studio.","- Godt verktøy med god funksjonalitet
- Brukes allerede på CMS-sider (åpne sider)
- Gratis bruk","- Omdiskutert verktøy
- Fortsatt uavklart om fremtidig lovlighet","Veiviser, Booking, Skjema, Oslonøkkelen"
1Password,Sikkerhet,BRUK,TRUE,"Passordmanager som er tatt i bruk i hele Origo. Erstattet andre verktøy, blant annet LastPass som tilbys via UKE.","- Trygg og sikker basismodell
- Sikker deling av hemmeligheter
- Veldig god utvikler-UX",- Relativt dyr,Alle team
LastPass,Sikkerhet,AVSTÅ,FALSE,"Passordmanager som tilbys via UKE. LastPass har blitt utsatt for flere sikkerhetshendelser, så vi ønsker ikke å bruke denne mer.",- Sikker deling av hemmeligheter,- Utsatt for flere sikkerhetshendelser,
"Amazon Parameter Store,
Amazon Secrets Manager",Sikkerhet,BRUK,FALSE,"Passer til ulike behov, er det lurt med en guide for når team burde benytte den ene over den andre?","- Secrets Manager tilbyr automatisk rotering
- Parameter Store er billig",,Alle team
Amazon KMS,Sikkerhet,BRUK,FALSE,"Key Management Service. Tjeneste for administrasjon og bruk av krypteringsnøkler, f.eks. for kryptering av data som lagres i Amazon S3.","- Default i bruk i AWS-kontoer
- Default KMS-nøkkel kan ikke slettes",- Viktig å ikke miste manuelle nøkler,Alle team
GitHub Advanced Security,Sikkerhet,BRUK,FALSE,"Med GitHub Advance Security aktiveres ekstra funksjonalitet med:
- Code scanning: søker for potensielle sikkerhetssårbarheter og kodefeil i kildekoden.
- Secret scanning: Detekterer nøkler og tokens so har feilaktig blitt sjekket inn i repositoriet.
- Dependency review: Gjennomgang av avhengigheter, og detaljer på sårbare versjoner.","- Veldig enkelt å bruke i forbindelse med GitHub
- Gratis for open-source",- Dyrt for closed-source,Alle team
